Unnamed: 0,Posição,País (ou território dependente),Estimativa da ONU,Data,Estimativa Oficial
,98,Israel,8 655 535,2020,Estimativa oficial
,99,Suíça,8 654 622,2020,Estimativa oficial
,100,Togo,8 278 724,2020,Estimativa oficial
,101,Serra Leoa,7 976 983,2020,Estimativa oficial
,–,Hong Kong (China),7 496 981,2020,Estimativa oficial
,102,Laos,7 275 560,2020,Estimativa oficial
,103,Bulgária,6 948 445,2020,Estimativa oficial
,104,Sérvia,6 926 705,2020,Estimativa oficial
,105,Líbia,6 871 292,2020,Estimativa oficial
,106,Líbano,6 825 445,2020,Estimativa oficial
,107,Nicarágua,6 624 554,2020,Estimativa oficial
,108,Quirguistão,6 524 195,2020,Estimativa oficial
,109,El Salvador,6 486 205,2020,Estimativa oficial
,110,Paraguai,6 109 644,2022,Censo oficial
,111,Turquemenistão,6 031 200,2020,Estimativa oficial
,112,Singapura,5 850 342,2020,Estimativa oficial
,113,Dinamarca,5 792 202,2020,Estimativa oficial
,114,Finlândia,5 540 720,2020,Estimativa oficial
,115,Congo,5 518 087,2020,Estimativa oficial
,116,Eslováquia,5 459 642,2020,Estimativa oficial
,117,Noruega,5 421 241,2020,Estimativa oficial
,118,Omã,5 106 626,2020,Estimativa oficial
,119,Palestina,5 101 414,2020,Estimativa oficial
,120,Costa Rica,5 094 118,2020,Estimativa oficial
,121,Libéria,5 057 681,2020,Estimativa oficial
,122,Irlanda,4 937 786,2020,Estimativa oficial
,123,República Centro-Africana,4 829 767,2020,Estimativa oficial
,124,Nova Zelândia,4 822 233,2020,Estimativa oficial
,125,Mauritânia,4 649 658,2020,Estimativa oficial
,126,Panamá,4 314 767,2020,Estimativa oficial
,127,Kuwait,4 270 571,2020,Estimativa oficial
,128,Croácia,4 105 267,2020,Estimativa oficial
,129,Geórgia,3 989 167,2020,Estimativa oficial
,130,Eritreia,3 546 421,2020,Estimativa oficial
,131,Uruguai,3 473 730,2020,Estimativa oficial
,132,Bósnia e Herzegovina,3 280 819,2020,Estimativa oficial
,133,Mongólia,3 278 290,2020,Estimativa oficial
,134,Arménia,2 963 243,2020,Estimativa oficial
,135,Jamaica,2 961 167,2020,Estimativa oficial
,136,Catar,2 881 053,2020,Estimativa oficial
,137,Albânia,2 877 797,2020,Estimativa oficial
,–,Porto Rico (Estados Unidos),2 860 853,2020,Estimativa oficial
,138,Lituânia,2 722 289,2020,Estimativa oficial
,139,Moldávia,2 640 438,2020,Estimativa oficial
,140,Namíbia,2 540 905,2020,Estimativa oficial
,141,Gâmbia,2 416 668,2020,Estimativa oficial
,142,Botswana,2 351 627,2020,Estimativa oficial
,143,Gabão,2 225 734,2020,Estimativa oficial
,144,Lesoto,2 142 249,2020,Estimativa oficial
,145,Macedônia do Norte,2 083 374,2020,Estimativa oficial
,146,Eslovénia,2 078 938,2020,Estimativa oficial
,147,Guiné-Bissau,1 968 001,2020,Estimativa oficial
,148,Letónia,1 886 198,2020,Estimativa oficial
,–,Kosovo,1 795 666,2020,Estimativa oficial
,149,Bahrein,1 701 575,2020,Estimativa oficial
,150,Guiné Equatorial,1 402 985,2020,Estimativa oficial
,151,Trinidad e Tobago,1 399 488,2020,Estimativa oficial
,152,Estónia,1 326 335,2020,Estimativa oficial
,153,Timor-Leste,1 318 445,2020,Estimativa oficial
,154,Maurícia,1 271 768,2020,Estimativa oficial
,155,Eswatini,1 160 164,2020,Estimativa oficial
,156,Djibouti,988 000,2020,Estimativa oficial
,157,Chipre,900 432,2020,Estimativa oficial
,158,Fiji,896 445,2020,Estimativa oficial
,–,Reunião (França),895 312,2020,Estimativa Oficial
,159,Comores,869 601,2020,Estimativa oficial
,160,Guiana,786 552,2020,Estimativa oficial
,161,Butão,771 608,2020,Estimativa oficial
,162,Ilhas Salomão,686 884,2020,Estimativa oficial
,–,Macau (China),649 335,2020,Estimativa oficial
,163,Montenegro,649 335,2020,Estimativa oficial
,164,Luxemburgo,625 978,2020,Estimativa oficial
,–,Saara Ocidental (Marrocos),597 339,2019,Estimativa oficial
,165,Suriname,586 632,2020,Estimativa oficial
,166,Cabo Verde,555 987,2020,Estimativa oficial
,167,Maldivas,540 544,2020,Estimativa oficial
,168,Malta,441 543,2020,Estimativa oficial
,–,Transnístria (Moldávia),469 000,2020,Estimativa oficial
,169,Brunei,437 479,2020,Estimativa oficial
,–,Guadalupe (França),400 124,2020,Estimativa Oficial[2]
,170,Belize,397 628,2020,Estimativa oficial
,171,Bahamas,393 244,2020,Estimativa oficial
,–,Martinica (França),375 265,2020,Estimativa Oficial [3]
,–,República Turca de Chipre do Norte (Chipre),351 965,2020,Estimativa oficial
,172,Islândia,341 243,2020,Estimativa oficial
,173,Vanuatu,307 145,2020,Estimativa oficial
,–,Guiana Francesa (França),298 682,2020,Estimativa oficial [4]
,174,Barbados,287 375,2020,Estimativa oficial
,–,Nova Caledônia (França),285 498,2020,Estimativa oficial
,–,Polinésia Francesa (França),280 908,2020,Estimativa oficial
,–,Mayotte (França),272 815,2020,Estimativa oficial[5]
,–,Abecásia (Geórgia),245 424,2020,Estimativa oficial
,175,São Tomé e Príncipe,219 159,2020,Estimativa oficial
,176,Samoa,198 414,2020,Estimativa oficial
,177,Santa Lúcia,183 627,2020,Estimativa oficial
,–,Guam (Estados Unidos),168 775,2020,Estimativa oficial
,–,Curaçau (Países Baixos),164 093,2020,Estimativa oficial
,178,Kiribati,119 449,2020,Estimativa oficial
,179,Estados Federados da Micronésia,114 419,2020,Estimativa oficial
,180,Granada,112 523,2020,Estimativa oficial
,181,São Vicente e Granadinas,110 940,2020,Estimativa oficial
,–,Jersey (Reino Unido),107 800,2020,Estimativa oficial
,–,Aruba (Países Baixos),106 766,2020,Estimativa oficial
,182,Tonga,105 695,2020,Estimativa oficial
,–,U.S. Ilhas Virgens (Estados Unidos),104 425,2020,Estimativa oficial
,183,Antígua e Barbuda,101 038,2023,Estimativa oficial
,184,Seicheles,100 499,2023,Estimativa oficial
,–,Ilha de Man (Reino Unido),85 033,2020,Estimativa oficial
,185,Andorra,78 097,2023,Estimativa oficial
,186,Domínica,72 433,2023,Estimativa oficial
,–,Ilhas Cayman (Reino Unido),65 722,2020,Estimativa oficial
,–,Guernsey (Reino Unido),63 155,2020,Estimativa oficial
,187,Ilhas Marshall,63 098,2023,Estimativa oficial
,-,Bermudas (Reino Unido),62 278,2020,Estimativa oficial
,–,Marianas Setentrionais (Estados Unidos),57 559,2020,Estimativa oficial
,–,Ossétia do Sul (Geórgia),57 095,2020,Estimativa oficial
,–,Gronelândia (Dinamarca),56 770,2020,Estimativa oficial
,–,Samoa Americana (Estados Unidos),55 191,2020,Estimativa oficial
,188,São Cristóvão e Nevis,54 543,2023,Estimativa oficial
,–,Ilhas Faroe (Dinamarca),48 863,2020,Estimativa oficial
,–,São Martinho (Países Baixos),42 876,2020,Estimativa oficial
,189,Mónaco,38 939,2023,Estimativa oficial
,–,Ilhas Turks e Caicos (Reino Unido),38 717,2020,Estimativa oficial
,190,Liechtenstein,38 949,2023,Estimativa oficial
,-,São Martinho (França),38 666,2020,Estimativa oficial
,191,San Marino,35 145,2023,Estimativa oficial
,–,Gibraltar (Reino Unido),33 691,2020,Estimativa oficial
,–,Ilhas Virgens Britânicas (Reino Unido),30 231,2020,Estimativa oficial
,–,Bonaire (Países Baixos),20 915,2020,Estimativa oficial [6]
,192,Palau,18 276,2023,Estimativa oficial
,–,Ilhas Cook,17 564,2020,Estimativa oficial
,–,Anguila (Reino Unido),15 003,2020,Estimativa oficial
,193,Tuvalu,12 012,2023,Estimativa oficial
,–,Wallis e Futuna (França),11 239,2020,Estimativa oficial
,194,Nauru,11 030,2023,Estimativa oficial
,–,São Bartolomeu (França),9 877,2020,Estimativa oficial
,–,São Pedro e Miquelão (França),6 008,2016,Estimativa oficial
,–,Montserrat (Reino Unido),4 992,2020,Estimativa oficial
,–,Santa Helena (território) do Reino Unido),4 889,2020,Estimativa oficial
,–,Ilhas Malvinas (Reino Unido),3 480,2020,Estimativa oficial
,–,Santo Eustáquio (Países Baixos),3 139,2020,Estimativa Oficial [7]
,–,Território Britânico do Oceano Índico (UK),3 000,2020,Estimativa oficial [8]
,–,Ilha Christmas (Austrália),1 996,2020,Estimativa oficial
,–,Niue,1 626,2020,CIA World Factbook
,–,Saba (Países Baixos),1 933,2020,Estimativa oficial [9]
,–,Ilha Norfolk (Austrália),1 734,2020,Estimativa oficial
,–,Tokelau (NZ),1 357,2020,Final Estimativa oficial
,–,Ilha de Ascensão (Reino Unido),806,2021,Estimativa oficial[10]
,195,Vaticano,801,2020,Estimativa oficial
,–,Ilhas Cocos (Keeling) (Austrália),573,2020,Estimativa oficial
,–,Tristão da Cunha (Reino Unido),241,2022,Estimativa oficial[11]
,–,Ilhas Pitcairn (Reino Unido),63,2023,Estimativa oficial
